"url","title","description","desc_len","robots"
"/benvenuto/","Benvenuto - Avinu Music & Productions","Benvenuto Restaurant's historic 1929 Mizner-inspired building. Breathtaking Tuscan influence architecture sets the scene for your happily ever after, while","155","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/the-addison/","The Addison - Avinu Music & Productions","Nestled in the heart of Boca Raton, Florida, The Addison is more than just a venue; it's a cherished piece of local history and a beacon of timeless elegance.","158","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/aventura-turnberry-jewish-center/","Aventura Turnberry Jewish Center - Avinu Music & Productions","The Aventura Turnberry Jewish Center is beloved by its community for a few reasons. ","84","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/zais-cortez/","Zais Cortez - Avinu Music & Productions","Zais Cortez, a Venezuelan native, has been deeply immersed in the art of event planning from a young age. Starting with organizing intimate birthday","148","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/planners/","Planners - Avinu Music & Productions","Please click on any of the following event planners to know more. If you'd like to be in our list, we'd love to hear from you.  Contact us","138","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/best-djs-in-soth-florida/djgrant/","DJ Grant - Avinu Music & Productions","Meet the music maestro, DJ Grant – a Miami Beach native with beats in his blood! Born and bred in the heart of Florida's party scene, his musical journey","153","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/elementor-9807/","Elementor #9807 - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/singer-booking/","Singer Booking - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/hyatt-centric-las-olas/","Hyatt Centric Las Olas - Avinu Music & Productions","Hyatt Centric Las Olas is a wedding venue located in Fort Lauderdale, Florida. Just a few blocks from the city's yacht-lined riverfront, this hotel is","150","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/photo-booth/","Photo Booth - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/noam-agami/","Noam Agami - Avinu Music & Productions","Born and raised in the sacred lands of Israel, Noam Agami  is an exceptionally talented singer with a vocal range that knows no bounds. With his mesmerizing","156","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/sergio-andre/","Sergio Andre - Avinu Music & Productions","Hailing from Venezuela, Sergio Andre is an extraordinary multilingual singer, captivating audiences with his enchanting performances in Spanish, English, and","157","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/contact/","Contact - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/djs-booking/","DJs Booking - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/best-djs-in-soth-florida/dj-trey-test/","DJ Trey TEST - Avinu Music & Productions","Get ready to meet Trey, the ultimate party-starting DJ who lives and breathes the electrifying world of turntables. With over 20 years of non-stop groove,","154","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/wherehouse-2016/","WHEREHOUSE 2016 - Avinu Music & Productions","WhereHouse 2016 is perfect for your teens and kids. DJ Levine has performed at this venue for many birthday parties, sweet 16’s, quinceaneras, and","146","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/walton-house/","WALTON HOUSE - Avinu Music & Productions","Our clients at Levine Events love to think out-of-the-box. We get your commitment to having a wedding or bar mitzvah that is not ordinary. If this is you –","155","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/viceroy-miami/","VICEROY MIAMI - Avinu Music & Productions","Temple Moses offers several spaces that will accommodate smaller intimate events of as little as 15 guests to upwards of 300 guests for larger receptions or","156","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/club-vault/","CLUB VAULT - Avinu Music & Productions","Fully built and equipped nightclub with 2 rooms, 2 bars, 2 DJ boots. Martin audio London sound system, top of the line lighting system with HD projection,","154","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/temple-moses/","TEMPLE MOSES - Avinu Music & Productions","Temple Moses offers several spaces that will accommodate smaller intimate events of as little as 15 guests to upwards of 300 guests for larger receptions or","156","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/sheraton-suites-plantation/","SHERATON SUITES PLANTATION - Avinu Music & Productions","When looking for wedding venues in Fort Lauderdale, Sheraton Suites Plantation is the perfect setting for a wedding or reception. Enjoy the majestic outdoor","156","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/ritz-carlton-miami-beach/","RITZ CARLTON MIAMI BEACH - Avinu Music & Productions","A cocktail reception on an ocean veranda. An elegant plated dinner in an exquisite ballroom. When it comes to planning weddings in Miami, The Ritz-Carlton,","155","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/old-school-square/","OLD SCHOOL SQUARE - Avinu Music & Productions","Old School Square offers a one-of-a-kind setting filled with history. Beautifully restored spaces include The Fieldhouse, the Ocean Breeze Room and the","151","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/ninja-lounge/","NINJA LOUNGE - Avinu Music & Productions","If you’re celebrating the end of a great school year or sports season, looking for a unique venue for a corporate event, or even needing to get your kids off","157","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/marriott-pompano-beach/","MARRIOTT POMPANO BEACH - Avinu Music & Productions","The ballrooms and event spaces featured overlook beautiful oceanfront views. The outdoor terrace sets a beautiful scene for romance, enveloping your","148","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/maps-backlot/","MAPS BACKLOT - Avinu Music & Productions","Maps Backlot is a 10,500 square foot studio and event space located in the Wynwood Arts District, fitting just perfectly for this all around artsy","146","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/gallery-of-amazing-things/","GALLERY OF AMAZING THINGS - Avinu Music & Productions","At Embassy Suites, your guests will have plenty of room to relax, mingle and enjoy a drink at the Complimentary Evening Reception and in the morning, their","155","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/embassy-suites-deerfield-beach/","EMBASSY SUITES DEERFIELD BEACH - Avinu Music & Productions","At Embassy Suites, your guests will have plenty of room to relax, mingle and enjoy a drink at the Complimentary Evening Reception and in the morning, their","155","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/eden-roc/","EDEN ROC - Avinu Music & Productions","Eden Roc offers versatile event spaces, ones that might find you gathering indoors or in the open air; by day or by moonlight; on a rooftop terrace, a starlit","158","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/eden-regal-ballroom/","EDEN REGAL BALLROOM - Avinu Music & Productions","Elegant, Beautiful, Classy and Modern is how you and your guests will describe your event at The Eden Regal Ballroom & Catering. Eden Regal Ballroom has","152","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/douglas-entrance/","DOUGLAS ENTRANCE - Avinu Music & Productions","For brides looking for a historic and elegant venue The Douglas Entrance is the perfect place to go. Old world charm and vintage romance will radiate from","154","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/the-confidante/","THE CONFIDANTE - Avinu Music & Productions","Celebrate your special day amid stunning Art Deco settings that recall the glitz and glamour of Miami’s golden era, and immerse you in glamorous backdrops and","158","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/bonaventure-resort/","BONAVENTURE RESORT - Avinu Music & Productions","With three stunning ballrooms and variety of smaller, more intimate spaces, event parties are assured an exquisite setting for their ceremony and accompanying","158","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/manseldj-2/","MarkLevine - Avinu Music & Productions"," Mark Levine is the head DJ and founder of Levine Events, where his heart and energy have created the most spectacular events worldwide.    ","140","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/weddings/","Weddings - Avinu Music & Productions","Let's do something amazing! That's what our clients seek, and that's exactly what we strive for. The secret is in a variety of tools, starting by carefully","155","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/corporate/","Corporate - Avinu Music & Productions"," ","1","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/bar-mitzvahs/","Mitzvahs - Avinu Music & Productions","Mazal tov on your bar or bar mitzvah!","37","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/luxury-car-rentals/","Luxury Car Rentals - Avinu Music & Productions","Call or text +1.305.900.7863 Let’s do something amazing","55","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/miamiphotobooth/","Photobooth Open Air - Avinu Music & Productions","The Photobooth Open Air offers a variety of features, unlimited prints, physical albums for your guests to sign, and a digital platform full of excitement. ","156","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/confetti-special-effects/","Confetti & Special Effects - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-chefs/","PRIVATE CHEFS - Avinu Music & Productions","https://www.youtube.com/watch?v=2hJeAZdiGQ8&feature=youtu.be","60","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/yachts/","Yachts - Avinu Music & Productions","Call us 786.505.3214 Let’s do something amazing","47","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/luxury-car-rentals-2/","Lamborghini Aventador Roadster SV - Avinu Music & Productions","Discover the Lamborghini Aventador Superveloce Roadster: what’s new, its features and detailed technical specifications. The groundbreaking innovations we","154","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/terms-and-conditions/","Terms and Conditions - Avinu Music & Productions","THE PARTIES:  The agreement is for services between the undersigned purchaser (client) and Levine Events","104","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/about/","About - Avinu Music & Productions","Our name—Levine—comes from the Hebrew word for heart, because that’s the core principle that drives everything we do: we bring the heartfelt passion that is","156","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/concierge/","Concierge - Avinu Music & Productions","Dream vacations come to life. If you’ve ever fantasized about yourself at sea, we're here to make this a reality. Complemented with bartenders, masseuse,","153","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/services-2/","Entertainment - Avinu Music & Productions","Our roster of seasoned DJ’s are experts in their field. They know what makes lively and memorable receptions, but more than that, they know how to read a","153","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private/","Private Events - Avinu Music & Productions","Birthdays, bachelor parties, quinces or sweet 16’s, Levine Events is your one-stop shop for an outstanding event, no matter the occasion.","137","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/ventura-turnberry-jewish-center-event-pictures-2/","VENTURA TURNBERRY JEWISH CENTER EVENT PICTURES - Avinu Music & Productions","Aventura Turnberry Jewish Center is a vibrant and diverse Conservative congregation in the heart of Aventura, Florida, an exciting multi-cultural and","149","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/ventura-turnberry-jewish-center-event-pictures/","VENTURA TURNBERRY JEWISH CENTER EVENT PICTURES - Avinu Music & Productions","Mark Lewin, international DJ, singer and MC is simply one of a kind.","68","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/dj-details/","DJ Details - Avinu Music & Productions","https://youtu.be/eR3bVFX1xHUhttps://youtu.be/VldWSuHwf7Ihttps://youtu.be/VldWSuHwf7Ihttps://youtu.be/1WVj_Lwnblw","112","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/uplights/","Uplights - Avinu Music & Productions","We know that the importance of your wedding day surpasses that of any other celebration. That’s why it is our priority to ensure your special day comes to","154","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/day-of-coordination/","Day of Coordination - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/led-robots/","LED Robots - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/models/","Models - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/pin-spot-lighting/","Pin spot Lighting - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-events-dancers/show-mapping-projector/","Show Mapping Projector - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/intelligent-dance-floor/","Intelligent Dance Floor - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/bands/","Bands - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/other-services/","Other Services - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/entertainment/","Entertainment - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/corporate-events-dancers/","Corporate Events - Dancers - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-events-special-services/","Private Events - Special Services - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-events-planning/","Private Events - Planning - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-events-special-acts/","Private Events - Special Acts - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-events-draping/","Private Events - Draping - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-events-photographers-videographers/","Private Events - Photographers / Videographers - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-events-photobooths/","Private Events - Photobooths - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-events-musicians-and-bands/","Private Events - Musicians and Bands - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-events-lighting/","Private Events - Lighting - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-events-dancers/","Private Events - Dancers - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/private-events-dj-mcs/","Private Events - DJ / MC's - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/wedding-private-services/","Wedding Private Services - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/wedding-bachelor-party/","Wedding Bachelor Party - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/wedding-planning/","Wedding Planning - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/wedding-special-acts/","Wedding Special Acts - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/wedding-draping/","Wedding Draping - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/wedding-photographers-videographers/","Wedding Photographers / Videographers - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/wedding-photo-booths/","Wedding Photo Booths - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/wedding-lighting/","Wedding Lighting - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/wedding-dancers/","Wedding Dancers - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/wedding-dj-mcs/","Wedding DJ / MC's - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/music/","Music - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/gallery/","Gallery - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
"/services/","Services - Avinu Music & Productions","","0","index, follow, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
